e61f33551d8795579d514b011bd6ed34fa249a86 blob   79853860 9385734 105919688
chain length = 1: 1967 objects
chain length = 2: 742 objects
chain length = 3: 356 objects
chain length = 4: 246 objects
chain length = 5: 100 objects
chain length = 6: 80 objects
chain length = 7: 52 objects
chain length = 8: 23 objects
chain length = 9: 29 objects
chain length = 10: 8 objects
chain length = 11: 8 objects
chain length = 12: 5 objects
chain length = 13: 5 objects
chain length = 14: 3 objects
chain length = 15: 2 objects
chain length = 16: 1 object
chain length = 17: 1 object
chain length = 18: 1 object
chain length = 19: 1 object
chain length = 20: 1 object
chain length = 21: 1 object
chain length = 22: 1 object
chain length = 23: 1 object
chain length = 24: 1 object
chain length = 25: 1 object
chain length = 26: 1 object
chain length = 27: 1 object
chain length = 28: 1 object
chain length = 29: 1 object
chain length = 30: 1 object
chain length = 31: 1 object
chain length = 32: 1 object
chain length = 33: 1 object
chain length = 34: 1 object
chain length = 35: 1 object
chain length = 36: 1 object
chain length = 37: 1 object
chain length = 38: 1 object
chain length = 39: 1 object
chain length = 40: 1 object
chain length = 41: 1 object
chain length = 42: 1 object
chain length = 43: 1 object
chain length = 44: 1 object
chain length = 45: 1 object
